Establishment ID,Establishment Type,Severity,Inspection Date
10752656,Food Take Out,M - Minor,2022-08-10
10752656,Food Take Out,C - Crucial,2022-08-10
10752656,Food Take Out,M - Minor,2022-08-10
10752656,Food Take Out,S - Significant,2022-08-10
10752656,Food Take Out,S - Significant,2022-08-10
10752656,Food Take Out,N/A - Not Applicable,2022-08-18
10752656,Food Take Out,C - Crucial,2023-04-04
10752656,Food Take Out,S - Significant,2023-04-04
10752656,Food Take Out,S - Significant,2023-04-04
10752656,Food Take Out,M - Minor,2023-04-04
10752656,Food Take Out,NA - Not Applicable,2023-04-04
10752656,Food Take Out,S - Significant,2023-04-04
10752656,Food Take Out,M - Minor,2023-04-04
10752656,Food Take Out,S - Significant,2023-04-04
10752656,Food Take Out,M - Minor,2023-04-04
10752656,Food Take Out,M - Minor,2023-04-13
10752656,Food Take Out,NA - Not Applicable,2023-04-13
10752656,Food Take Out,M - Minor,2023-07-24
10752656,Food Take Out,M - Minor,2023-07-24
10752656,Food Take Out,M - Minor,2023-07-24
10752656,Food Take Out,NA - Not Applicable,2023-07-24
10752656,Food Take Out,NA - Not Applicable,2023-10-31
10752656,Food Take Out,S - Significant,2023-10-31
10752656,Food Take Out,S - Significant,2023-10-31
10752656,Food Take Out,M - Minor,2023-10-31
10752656,Food Take Out,M - Minor,2023-10-31
10752656,Food Take Out,M - Minor,2024-03-06
10752656,Food Take Out,M - Minor,2024-03-06
10805561,Food Take Out,N/A - Not Applicable,2024-03-04
10805561,Food Take Out,M - Minor,2024-05-03
10805561,Food Take Out,M - Minor,2024-05-03
10510325,Restaurant,N/A - Not Applicable,2022-11-07
10510325,Restaurant,N/A - Not Applicable,2023-07-12
10776009,Restaurant,N/A - Not Applicable,2023-03-14
10776009,Restaurant,N/A - Not Applicable,2023-06-26
10776009,Restaurant,N/A - Not Applicable,2023-11-16
10776009,Restaurant,N/A - Not Applicable,2024-02-27
10776009,Restaurant,N/A - Not Applicable,2024-06-04
10776015,Restaurant,N/A - Not Applicable,2023-06-26
10776015,Restaurant,N/A - Not Applicable,2023-11-16
10776015,Restaurant,N/A - Not Applicable,2024-02-27
10776015,Restaurant,N/A - Not Applicable,2024-06-04
10776015,Restaurant,N/A - Not Applicable,2023-03-14
10776008,Restaurant,N/A - Not Applicable,2023-03-14
10776008,Restaurant,N/A - Not Applicable,2023-06-26
10776008,Restaurant,N/A - Not Applicable,2023-11-16
10776008,Restaurant,N/A - Not Applicable,2024-02-27
10776008,Restaurant,N/A - Not Applicable,2024-06-04
10776019,Restaurant,N/A - Not Applicable,2023-03-14
10776019,Restaurant,N/A - Not Applicable,2023-06-26
10776019,Restaurant,N/A - Not Applicable,2023-11-16
10776019,Restaurant,N/A - Not Applicable,2024-02-27
10776019,Restaurant,N/A - Not Applicable,2024-06-04
10776013,Restaurant,N/A - Not Applicable,2023-03-14
10776013,Restaurant,N/A - Not Applicable,2023-06-26
10776013,Restaurant,N/A - Not Applicable,2023-11-16
10776013,Restaurant,N/A - Not Applicable,2024-02-27
10776013,Restaurant,N/A - Not Applicable,2024-06-04
10776014,Restaurant,N/A - Not Applicable,2023-03-14
10776014,Restaurant,N/A - Not Applicable,2023-06-26
10776014,Restaurant,N/A - Not Applicable,2023-11-16
10776014,Restaurant,N/A - Not Applicable,2024-02-27
10776014,Restaurant,N/A - Not Applicable,2024-06-04
10500438,Food Take Out,M - Minor,2022-08-19
10500438,Food Take Out,M - Minor,2023-06-20
10500438,Food Take Out,S - Significant,2023-06-20
10500438,Food Take Out,S - Significant,2023-06-20
10500438,Food Take Out,M - Minor,2023-06-20
10500438,Food Take Out,NA - Not Applicable,2024-02-23
10500438,Food Take Out,M - Minor,2024-02-23
10500438,Food Take Out,M - Minor,2024-02-23
10814320,Food Take Out,N/A - Not Applicable,2024-06-07
10556602,Food Take Out,NA - Not Applicable,2022-11-30
10556602,Food Take Out,N/A - Not Applicable,2023-05-01
10556602,Food Take Out,N/A - Not Applicable,2024-03-08
10588973,Restaurant,S - Significant,2022-08-22
10588973,Restaurant,S - Significant,2022-08-22
10588973,Restaurant,S - Significant,2022-08-22
10588973,Restaurant,M - Minor,2022-08-22
10588973,Restaurant,M - Minor,2022-09-07
10588973,Restaurant,NA - Not Applicable,2023-04-03
10588973,Restaurant,NA - Not Applicable,2023-12-08
10588973,Restaurant,M - Minor,2023-12-08
10808982,Restaurant,M - Minor,2024-04-15
10814160,Food Take Out,N/A - Not Applicable,2024-06-06
10715579,Food Take Out,N/A - Not Applicable,2022-12-01
10781442,Restaurant,N/A - Not Applicable,2023-05-18
10781442,Restaurant,S - Significant,2023-09-15
10781442,Restaurant,N/A - Not Applicable,2024-04-24
10589964,Restaurant,M - Minor,2022-10-07
10589964,Restaurant,NA - Not Applicable,2022-10-07
10589964,Restaurant,S - Significant,2022-10-07
10589964,Restaurant,M - Minor,2022-10-07
10589964,Restaurant,S - Significant,2022-10-07
10589964,Restaurant,M - Minor,2022-10-07
10589964,Restaurant,M - Minor,2022-10-07
10589964,Restaurant,S - Significant,2023-08-09
10589964,Restaurant,S - Significant,2023-08-09
10589964,Restaurant,S - Significant,2023-08-09
10589964,Restaurant,M - Minor,2023-08-09
10589964,Restaurant,S - Significant,2023-08-09
10589964,Restaurant,M - Minor,2023-08-09
10589964,Restaurant,NA - Not Applicable,2023-08-09
10589964,Restaurant,N/A - Not Applicable,2023-08-10
10589964,Restaurant,M - Minor,2023-12-21
10589964,Restaurant,S - Significant,2023-12-21
10589964,Restaurant,S - Significant,2024-02-15
10589964,Restaurant,M - Minor,2024-02-15
10589964,Restaurant,M - Minor,2024-02-15
10589964,Restaurant,M - Minor,2024-02-15
10589964,Restaurant,NA - Not Applicable,2024-02-15
10589964,Restaurant,M - Minor,2024-02-15
10770298,Restaurant,S - Significant,2022-12-13
10812827,Restaurant,N/A - Not Applicable,2024-05-24
10742080,Restaurant,M - Minor,2022-07-14
10742080,Restaurant,M - Minor,2022-09-29
10742080,Restaurant,M - Minor,2022-09-29
10742080,Restaurant,S - Significant,2023-02-22
10742080,Restaurant,M - Minor,2023-02-22
10742080,Restaurant,NA - Not Applicable,2023-02-22
10742080,Restaurant,S - Significant,2024-03-26
10790159,Food Take Out,N/A - Not Applicable,2023-08-14
10790159,Food Take Out,N/A - Not Applicable,2024-02-13
10814724,Restaurant,NA - Not Applicable,2024-06-12
10814724,Restaurant,S - Significant,2024-06-12
10814724,Restaurant,M - Minor,2024-06-12
10772399,Restaurant,S - Significant,2023-01-19
10772399,Restaurant,N/A - Not Applicable,2023-07-07
10772399,Restaurant,S - Significant,2024-01-09
10772399,Restaurant,N/A - Not Applicable,2024-01-12
10804478,Food Take Out,N/A - Not Applicable,2024-02-20
10464953,Restaurant,N/A - Not Applicable,NA
10764683,Restaurant,M - Minor,2022-09-23
10764683,Restaurant,C - Crucial,2023-02-16
10764683,Restaurant,C - Crucial,2023-02-16
10764683,Restaurant,C - Crucial,2023-02-16
10764683,Restaurant,N/A - Not Applicable,2023-02-21
10764683,Restaurant,M - Minor,2023-07-31
10764683,Restaurant,S - Significant,2023-07-31
10764683,Restaurant,S - Significant,2023-07-31
10764683,Restaurant,M - Minor,2023-12-04
10764683,Restaurant,M - Minor,2023-12-04
10764683,Restaurant,M - Minor,2024-04-16
10764683,Restaurant,M - Minor,2024-04-16
10806585,Restaurant,N/A - Not Applicable,2024-03-15
10806585,Restaurant,N/A - Not Applicable,2024-05-27
10741800,Restaurant,M - Minor,2023-04-03
10741800,Restaurant,M - Minor,2023-04-03
10741800,Restaurant,M - Minor,2023-04-03
10741800,Restaurant,M - Minor,2023-07-01
10741800,Restaurant,M - Minor,2023-07-01
10741800,Restaurant,M - Minor,2023-07-01
10741800,Restaurant,M - Minor,2023-12-01
10741800,Restaurant,M - Minor,2023-12-01
10741800,Restaurant,M - Minor,2024-04-26
10741800,Restaurant,S - Significant,2024-04-26
10741800,Restaurant,M - Minor,2024-04-26
10447525,Restaurant,N/A - Not Applicable,2022-07-04
10447525,Restaurant,M - Minor,2023-04-17
10447525,Restaurant,M - Minor,2023-08-01
10447525,Restaurant,NA - Not Applicable,2024-06-07
10318628,Restaurant,N/A - Not Applicable,2022-12-29
10318628,Restaurant,N/A - Not Applicable,2023-05-12
10318628,Restaurant,N/A - Not Applicable,2023-12-27
10318628,Restaurant,N/A - Not Applicable,2024-05-27
10495816,Food Take Out,M - Minor,2022-08-08
10495816,Food Take Out,M - Minor,2023-01-17
10495816,Food Take Out,N/A - Not Applicable,2023-07-07
10495816,Food Take Out,NA - Not Applicable,2024-01-16
10754807,Restaurant,M - Minor,2022-10-27
10754807,Restaurant,M - Minor,2022-10-27
10754807,Restaurant,M - Minor,2022-10-27
10754807,Restaurant,N/A - Not Applicable,2023-03-07
10754807,Restaurant,S - Significant,2023-08-30
10754807,Restaurant,S - Significant,2023-08-30
10754807,Restaurant,M - Minor,2023-08-30
10754807,Restaurant,NA - Not Applicable,2023-08-30
10754807,Restaurant,S - Significant,2023-08-30
10754807,Restaurant,N/A - Not Applicable,2023-09-01
10754807,Restaurant,S - Significant,2024-04-19
10754807,Restaurant,M - Minor,2024-04-19
10754807,Restaurant,S - Significant,2024-04-19
10754807,Restaurant,S - Significant,2024-04-19
10754807,Restaurant,S - Significant,2024-04-19
10752269,Restaurant,N/A - Not Applicable,2022-08-02
10752269,Restaurant,N/A - Not Applicable,2023-01-27
10752269,Restaurant,S - Significant,2023-08-28
10752269,Restaurant,S - Significant,2023-08-28
10752269,Restaurant,M - Minor,2023-08-28
10752269,Restaurant,S - Significant,2023-08-28
10752269,Restaurant,NA - Not Applicable,2023-08-28
10752269,Restaurant,N/A - Not Applicable,2023-11-09
10752269,Restaurant,M - Minor,2024-02-05
9000031,Food Take Out,NA - Not Applicable,2023-03-15
9000031,Food Take Out,S - Significant,2023-08-24
9000031,Food Take Out,S - Significant,2023-08-24
9000031,Food Take Out,M - Minor,2023-08-24
9000031,Food Take Out,S - Significant,2023-08-24
9000031,Food Take Out,S - Significant,2023-08-24
9000031,Food Take Out,M - Minor,2023-08-24
9000031,Food Take Out,M - Minor,2023-08-24
9000031,Food Take Out,M - Minor,2023-08-24
9000031,Food Take Out,S - Significant,2023-08-24
9000031,Food Take Out,N/A - Not Applicable,2023-08-28
9000031,Food Take Out,S - Significant,2024-04-19
9000046,Food Take Out,M - Minor,2022-06-27
9000046,Food Take Out,M - Minor,2022-06-27
9000046,Food Take Out,M - Minor,2022-08-29
9000046,Food Take Out,M - Minor,2023-03-20
9000046,Food Take Out,M - Minor,2023-11-27
9000046,Food Take Out,NA - Not Applicable,2023-11-27
9000046,Food Take Out,N/A - Not Applicable,2024-06-17
9016832,Food Take Out,N/A - Not Applicable,2023-02-24
9016832,Food Take Out,N/A - Not Applicable,2023-08-03
9016832,Food Take Out,N/A - Not Applicable,2024-04-22
9043776,Food Take Out,N/A - Not Applicable,2022-08-11
9043776,Food Take Out,N/A - Not Applicable,2023-04-14
9043776,Food Take Out,N/A - Not Applicable,2023-11-13
10284603,Food Take Out,N/A - Not Applicable,2023-04-13
10284603,Food Take Out,M - Minor,2024-02-14
10284603,Food Take Out,M - Minor,2024-02-14
10349645,Food Take Out,S - Significant,2023-04-25
10349645,Food Take Out,S - Significant,2023-04-25
10349645,Food Take Out,M - Minor,2023-04-25
10349645,Food Take Out,S - Significant,2023-04-25
10349645,Food Take Out,N/A - Not Applicable,2023-04-28
10349645,Food Take Out,S - Significant,2023-09-28
10349645,Food Take Out,C - Crucial,2023-09-28
10349645,Food Take Out,S - Significant,2023-09-28
10349645,Food Take Out,M - Minor,2023-09-28
10349645,Food Take Out,NA - Not Applicable,2023-09-28
10349645,Food Take Out,N/A - Not Applicable,2023-10-06
10766596,Food Take Out,S - Significant,2022-10-20
10766596,Food Take Out,N/A - Not Applicable,2022-10-26
10766596,Food Take Out,N/A - Not Applicable,2023-06-19
10766596,Food Take Out,N/A - Not Applicable,2024-01-03
10775084,Food Take Out,M - Minor,2023-02-27
10775084,Food Take Out,N/A - Not Applicable,2023-05-08
10775084,Food Take Out,S - Significant,2023-10-16
10775084,Food Take Out,S - Significant,2023-10-16
10775084,Food Take Out,S - Significant,2023-10-16
10775084,Food Take Out,N/A - Not Applicable,2023-10-17
10775084,Food Take Out,N/A - Not Applicable,2024-02-14
10775084,Food Take Out,M - Minor,2024-06-12
10294608,Food Take Out,N/A - Not Applicable,2023-01-23
10294608,Food Take Out,N/A - Not Applicable,2023-05-11
