establishment_id,establishment_type,inspection_frequency,severity
ID_1,Food Take Out,5,C - Crucial
ID_1,Restaurant,4,M - Minor
ID_1,Restaurant,2,S - Significant
ID_1,Restaurant,5,M - Minor
ID_1,Restaurant,3,S - Significant
ID_2,Food Take Out,1,C - Crucial
ID_2,Restaurant,2,M - Minor
ID_2,Food Take Out,4,M - Minor
ID_2,Food Take Out,4,S - Significant
ID_2,Restaurant,2,S - Significant
ID_3,Food Take Out,1,C - Crucial
ID_3,Restaurant,2,S - Significant
ID_3,Food Take Out,3,C - Crucial
ID_3,Restaurant,3,S - Significant
ID_3,Restaurant,1,S - Significant
ID_4,Restaurant,3,S - Significant
ID_4,Food Take Out,3,S - Significant
ID_4,Food Take Out,1,S - Significant
ID_4,Food Take Out,2,C - Crucial
ID_4,Food Take Out,1,M - Minor
ID_5,Restaurant,2,M - Minor
ID_5,Food Take Out,3,S - Significant
ID_5,Food Take Out,1,M - Minor
ID_5,Restaurant,2,S - Significant
ID_5,Food Take Out,2,M - Minor
ID_6,Food Take Out,1,C - Crucial
ID_6,Restaurant,4,M - Minor
ID_6,Food Take Out,1,S - Significant
ID_6,Restaurant,1,S - Significant
ID_6,Restaurant,5,S - Significant
ID_7,Food Take Out,1,M - Minor
ID_7,Food Take Out,2,C - Crucial
ID_7,Food Take Out,1,M - Minor
ID_7,Food Take Out,1,M - Minor
ID_7,Restaurant,3,M - Minor
ID_8,Food Take Out,5,C - Crucial
ID_8,Restaurant,4,C - Crucial
ID_8,Food Take Out,2,M - Minor
ID_8,Food Take Out,4,S - Significant
ID_8,Food Take Out,2,C - Crucial
ID_9,Food Take Out,5,M - Minor
ID_9,Food Take Out,1,S - Significant
ID_9,Restaurant,1,S - Significant
ID_9,Restaurant,3,M - Minor
ID_9,Restaurant,5,S - Significant
ID_10,Restaurant,2,M - Minor
ID_10,Restaurant,4,S - Significant
ID_10,Restaurant,3,C - Crucial
ID_10,Restaurant,4,S - Significant
ID_10,Food Take Out,2,C - Crucial
ID_11,Restaurant,2,S - Significant
ID_11,Food Take Out,2,M - Minor
ID_11,Restaurant,4,C - Crucial
ID_11,Restaurant,5,C - Crucial
ID_11,Restaurant,5,C - Crucial
ID_12,Food Take Out,5,C - Crucial
ID_12,Food Take Out,2,S - Significant
ID_12,Restaurant,4,C - Crucial
ID_12,Food Take Out,2,S - Significant
ID_12,Restaurant,4,C - Crucial
ID_13,Restaurant,1,C - Crucial
ID_13,Food Take Out,3,M - Minor
ID_13,Food Take Out,5,S - Significant
ID_13,Restaurant,5,C - Crucial
ID_13,Food Take Out,4,S - Significant
ID_14,Restaurant,3,S - Significant
ID_14,Restaurant,3,S - Significant
ID_14,Food Take Out,1,S - Significant
ID_14,Food Take Out,4,C - Crucial
ID_14,Food Take Out,2,C - Crucial
ID_15,Restaurant,2,C - Crucial
ID_15,Restaurant,3,M - Minor
ID_15,Food Take Out,2,M - Minor
ID_15,Restaurant,1,M - Minor
ID_15,Restaurant,3,C - Crucial
ID_16,Food Take Out,5,M - Minor
ID_16,Restaurant,2,M - Minor
ID_16,Food Take Out,4,M - Minor
